"Nombre","Distrito Inicial","Distrito Final","Distancia (m)","Coordenadas"
"TREN METRÓPOLIS III ESTACION PACIFICO - EST. ATLÁNTICO - CFIA.","PAVAS","CURRIDABAT","17254.6725","MULTILINESTRING ((491159.09069999959 1097500.6857999992, 491141.216 1097495.9344999995, 491120.92960000038 1097493.9486999996, 490832.11160000041 1097530.4064000007, 490788.58050000016 1097534.9518, 490716.5393000003 1097538.9516000003, 490674.76009999961 1097533.9854000006, 490631.55379999988 1097522.8263000008, 490587.68780000042 1097504.5891999993, 490494.14209999982 1097461.7020999994, 490469.57799999975 1097454.9620999992, 490421.00079999957 1097452.2098999992, 490371.76840000041 1097460.0753000006, 490346.76850000024 1097464.3950999994, 490255.9796000002 1097480.1239, 490164.42329999991 1097495.9638, 490144.57689999975 1097499.3976000007, 490098.41509999987 1097507.5943, 490073.41610000003 1097515.3428000007, 490049.7341 1097526.8512999993, 490028.02689999994 1097541.8983999994, 490008.62310000043 1097559.3779000007, 489993.05769999977 1097579.0683999993, 489813.19570000004 1097861.2495000008, 489791.05549999978 1097895.4299999997, 489732.85589999985 1097986.6884000003, 489707.86560000014 1098023.5239000004, 489679.91330000013 1098055.1624999996, 489648.67019999959 1098082.0461999997, 489631.56780000031 1098093.4425000008, 489576.64109999966 1098123.9827999994, 489558.6612 1098134.6052, 489372.28309999965 1098235.6336000003, 489310.00810000021 1098259.4300999995, 489268.12330000009 1098265.8570000008, 489079.7478 1098283.2765999995, 489034.13430000003 1098287.7141999993, 488992.24880000018 1098291.5976999998, 488923.71889999975 1098298.3648000006, 488899.81570000015 1098300.6947000008, 488877.88609999977 1098302.8027, 488857.05300000031 1098304.7997999992, 488805.84750000015 1098309.9028999992, 488585.5652999999 1098331.3164000008, 488284.03490000032 1098361.7156000007, 488212.4347000001 1098367.1579, 488189.1897 1098370.1515999995, 488167.04079999961 1098372.1494999994, 488145.87899999972 1098374.5895000007, 487922.08910000045 1098397.4458000008, 487825.81900000013 1098407.3210000005, 487804.98610000033 1098409.6504999995, 487763.10209999979 1098417.1851000004, 487742.92889999971 1098424.8231000006, 487705.76559999958 1098449.2774, 487674.74509999994 1098480.9185000006, 487663.34729999956 1098498.2860000003, 487653.37660000008 1098520.2980000004, 487647.13439999986 1098543.3043000009, 487643.85360000003 1098569.0744000003, 487646.39879999962 1098637.6433000006, 487636.98269999959 1098678.1248000003, 487627.77830000035 1098696.5976, 487615.61290000007 1098713.4123999998, 487583.82380000036 1098740.7404999994, 487564.5285 1098749.8159999996, 487543.36789999995 1098754.9108000007, 487521.10969999991 1098757.0197, 487342.05200000014 1098757.9661999997, 487172.54250000045 1098783.6839000005, 487109.50009999983 1098800.9593000002, 486867.10250000004 1098905.5596999992, 486843.97020000033 1098915.6323000006, 486802.96850000042 1098935.3333, 486765.9171000002 1098962.9958999995, 486737.09140000027 1098996.0747999996, 486719.88210000005 1099011.3433999997, 486691.49569999985 1099046.1917000003, 486658.50200000033 1099075.1799999997, 486639.09949999955 1099089.5647, 486594.37200000044 1099114.6865999997, 486545.25629999954 1099133.3955000006, 486494.71239999961 1099144.4738999996, 486427.71800000034 1099146.8213, 486201.83860000037 1099138.1690999996, 485942.40600000042 1099127.9829999991, 485917.73479999974 1099127.2182999998, 485807.64580000006 1099123.1689999998, 485702.27190000005 1099119.0076000001, 485438.45330000017 1099109.7115000002, 485371.89800000004 1099113.3879000004, 485189.12229999993 1099134.9175000004, 485146.03390000015 1099143.4509999994, 485124.43730000034 1099153.8559000008, 485093.4183 1099182.0706999991, 485081.03639999963 1099202.5362, 485073.04160000011 1099225.7647999991, 485070.09130000044 1099250.6502, 485101.125 1099526.3549000006, 485112.57160000037 1099631.9700000007, 485111.59410000034 1099654.7533999998, 485106.55999999959 1099678.4231000002, 485089.03160000034 1099715.2589999996, 485076.53899999987 1099732.7383999992, 485060.09819999989 1099747.8969, 485040.91540000029 1099760.9551999997, 485019.64809999987 1099771.1388000008, 484734.82210000046 1099857.7437999994, 484696.23149999976 1099869.5938000008, 484654.35190000013 1099882.2195999995, 484422.91810000036 1099952.2149999999, 484374.02379999962 1099970.5951000005, 484332.91820000019 1099997.9300999995, 484299.38190000039 1100033.4461000003, 484286.7807 1100052.1424000002, 484264.1069 1100105.3491999991, 484220.16820000019 1100172.5004999992, 484179.74349999987 1100252.0371000003, 484104.36890000012 1100392.5277999993, 484057.15359999985 1100487.4405000005, 483990.66459999979 1100635.8905999996, 483965.57249999978 1100672.9516000003, 483949.35130000021 1100686.6728000008, 483931.92370000016 1100699.8414999992, 483912.19249999989 1100710.6886999998, 483671.3507000003 1100813.0980999991, 483615.00499999989 1100838.0077999998, 483562.60940000042 1100868.8879000004, 483543.20949999988 1100884.2696000002, 483527.0998999998 1100902.0830000006, 483505.0784 1100938.9218000006, 483468.8217000002 1101016.4666000009, 483445.59310000017 1101051.2046000008, 483417.10059999954 1101083.1800999995, 483366.57160000037 1101119.0364999995), (491158.31159999967 1097453.1295999996, 491170.81170000043 1097451.7994, 491203.49739999976 1097488.8411999997, 491229.48589999974 1097491.0469000004, 491261.06570000015 1097489.6016000006, 491284.96970000025 1097487.9370000008, 491310.08000000007 1097486.2719, 491331.24280000012 1097485.2716000006, 491350.65110000037 1097483.4975000005, 491374.44539999962 1097481.3904999997, 491397.91079999972 1097479.3942000009, 491422.03380000032 1097476.1811999995, 491448.56940000039 1097474.0735999998, 491470.93840000033 1097472.6306999996, 491492.86870000046 1097471.0770999994, 491514.14120000042 1097469.5238000005, 491540.1286000004 1097467.9694999997, 491565.78699999955 1097465.8621999994, 491589.14279999956 1097463.9767000005, 491612.05989999976 1097461.5383000001, 491635.85419999994 1097459.4315000009, 491658.88119999971 1097458.3202, 491682.0175999999 1097456.2136000004, 491705.48290000018 1097453.8857000005, 491729.71619999968 1097453.3272999991, 491755.70349999983 1097450.5565000009, 491778.40070000011 1097445.7957000006, 491800.98890000023 1097444.1316999998, 491822.59049999993 1097443.6843999997, 491841.7807 1097447.3298000004, 491859.10720000044 1097452.6345000006, 491878.7379999999 1097465.1274999995, 491895.51800000016 1097478.8377999999, 491913.72429999989 1097495.7548999991, 491930.28600000031 1097514.4419999998, 491940.0499 1097536.1166999992, 491949.26630000025 1097560.6670999993, 491953.5477 1097583.0066, 491955.08810000028 1097607.2268000003, 491957.50600000005 1097632.2211000007, 491958.38889999967 1097657.6580999997, 491960.03899999987 1097681.7676999997, 491960.70239999983 1097706.3199000005, 491962.35259999987 1097730.9825, 491963.45459999982 1097756.1982000005, 491965.32430000044 1097781.0820000004, 491966.75519999955 1097805.7446999997, 491967.63779999968 1097830.6286999993, 491968.84949999955 1097855.1807000004, 491969.40309999976 1097879.2906, 491970.17559999973 1097902.4050999992, 491970.61930000037 1097925.4090999998, 491971.72109999973 1097949.0764000006, 491972.6035000002 1097972.8544999994, 491973.48610000033 1097997.1853999998, 491974.91669999994 1098020.5209999997, 491975.47030000016 1098044.5201999992, 491977.33949999977 1098067.8556999993, 491983.04590000026 1098088.3147, 491991.27469999995 1098110.8746000007, 492007.17769999988 1098126.9075000007, 492026.91739999969 1098137.6309999991, 492047.42389999982 1098145.5895000007, 492067.82139999978 1098155.9811000004, 492086.46430000011 1098166.3730999995, 492108.17750000022 1098176.3220000006, 492127.69759999961 1098186.1609000005, 492146.34009999968 1098194.8939999994, 492169.04069999978 1098207.8289, 492187.57440000027 1098219.6587000005, 492207.86209999956 1098230.7139999997, 492229.79389999993 1098237.8980999999, 492254.79540000018 1098242.8695, 492275.73940000031 1098245.7405999992, 492299.75299999956 1098245.7356000002, 492322.77979999967 1098246.2837000005, 492349.20500000007 1098242.2967000008, 492374.20370000042 1098234.1073000003, 492394.81670000032 1098227.2459999993, 492417.40220000036 1098214.4122000001, 492436.69849999994 1098203.2379, 492456.76240000036 1098192.3953000009, 492478.47119999956 1098181.8841999993, 492499.1930999998 1098171.1521000005, 492518.81840000022 1098160.0884000007, 492538.33469999954 1098151.9002999999, 492558.83810000028 1098145.2602999993, 492579.67109999992 1098141.3851999994, 492603.68410000019 1098138.2836000007, 492624.73699999973 1098137.5051000006, 492648.09339999966 1098140.7076999992, 492670.13449999969 1098146.0118000004, 492692.06639999989 1098154.1916000005, 492712.35379999969 1098163.5881999992, 492729.79059999995 1098174.8654999994, 492753.69720000029 1098187.8005999997, 492769.81859999988 1098201.2901000008, 492791.09389999975 1098216.6588000003, 492811.81989999954 1098225.8341000006, 492832.10610000044 1098229.9222, 492854.4748999998 1098229.3649000004, 492879.25490000006 1098223.7195999995, 492899.21040000021 1098218.2964999992, 492921.24949999992 1098213.8684, 492942.41160000023 1098210.8781000003, 492964.56020000018 1098206.6711999997, 492985.61290000007 1098204.8976000007, 493010.28409999982 1098202.5702999998, 493032.10429999977 1098200.7965999991, 493053.92499999981 1098201.1241999995, 493076.40490000043 1098208.4192999993, 493096.80269999988 1098222.7929999996, 493114.23919999972 1098233.4068999998, 493133.10309999995 1098254.1953999996, 493145.93649999984 1098276.2017, 493152.41050000023 1098300.7529000007, 493152.63449999969 1098325.9688000008, 493150.2268000003 1098350.5216000006, 493142.88499999978 1098375.8496000003, 493133.45940000005 1098399.0766000003, 493113.28710000031 1098416.9969999995, 493093.77109999955 1098426.1800999995, 493073.70590000041 1098430.829, 493051.11830000021 1098432.8239999991, 493024.36280000024 1098429.0689000003, 493000.78679999989 1098423.5436000004, 492975.23709999956 1098417.7974999994, 492953.52529999986 1098412.6037000008, 492930.38779999968 1098406.1936000008, 492909.5532999998 1098401.7738000005, 492887.18410000019 1098398.9025999997, 492865.14389999956 1098397.1373999994, 492841.89769999962 1098395.8148999996, 492817.1166000003 1098395.8197000008, 492795.0773 1098398.0359000005, 492773.14769999962 1098400.6945999991, 492750.23149999976 1098404.5700000003, 492726.32890000008 1098410.7683000006, 492702.20729999989 1098418.5147999991, 492681.37550000008 1098427.3666999992, 492661.85929999966 1098435.5547000002, 492642.56269999966 1098444.8487, 492624.14340000041 1098454.3637000006, 492603.85979999974 1098463.4366999995, 492584.23440000042 1098473.2838000003, 492562.96430000011 1098483.6842, 492542.79059999995 1098493.1996, 492523.71329999994 1098502.3829999994, 492504.08810000028 1098512.8937, 492483.36649999954 1098524.4000000004, 492461.54849999957 1098535.796, 492438.63399999961 1098547.4133000001, 492412.97829999961 1098559.3630999997), (492427.1213999996 1098550.5123999994, 492472.1838999996 1098532.2545999996, 492534.8973000003 1098500.6111999992, 492553.97389999963 1098488.3311, 492597.50119999982 1098468.6360999998, 492679.84030000027 1098427.4776000008, 492728.08359999955 1098412.2056000009, 492780.82359999977 1098402.7943999991, 492849.24480000045 1098398.5782999992, 492911.85659999959 1098404.6488000005, 493020.6353000002 1098432.4980999995, 493305.52280000038 1098515.6130999997, 493455.86149999965 1098560.9301999994, 493499.7237 1098573.4197000004, 493587.88690000027 1098598.7306999993, 493609.15969999973 1098602.5978999995, 493659.59929999989 1098606.3493000008, 493704.66500000004 1098603.6871000007, 493779.77309999987 1098590.9557000007, 493804.77209999971 1098583.7625999991, 493827.57789999992 1098574.8004, 493894.13260000013 1098557.5362, 494016.82479999959 1098519.2495000008, 494066.49459999986 1098508.5134999994, 494109.47530000005 1098494.5714999996, 494152.89570000023 1098487.4863000009, 494175.92100000009 1098479.6303000003, 494224.9327999996 1098467.4568000007, 494248.50650000013 1098460.2643999998, 494269.33839999977 1098449.2015000004, 494318.89829999954 1098435.5902999993, 494362.97599999979 1098424.1919999998, 494445.64910000004 1098401.6176999994, 494536.65519999992 1098375.9455999993, 494636.87110000011 1098343.0835999995, 494682.70370000042 1098332.5702999998, 494754.85190000013 1098319.0669999998, 494879.74189999979 1098302.0174000002, 495010.22549999971 1098294.4787000008, 495102.11309999973 1098295.2404999994, 495177.55190000031 1098287.7097999994, 495228.86649999954 1098272.6620000005, 495251.89209999982 1098263.4794999994, 495290.15720000025 1098239.5857999995, 495308.6864 1098225.2058000006, 495326.11890000012 1098209.0565000009, 495359.77670000028 1098169.5692999996, 495382.1409 1098132.5166999996, 495391.34900000039 1098112.0552999992, 495418.64120000042 1098024.1278000008, 495429.93269999977 1098003.5554000009, 495456.79289999977 1097967.3871, 495502.18259999994 1097916.6179000009, 495599.87040000036 1097815.6315000001, 495654.7999 1097763.3128999993, 495715.32060000021 1097698.7174999993, 495760.60190000013 1097653.2572000008, 495808.40450000018 1097601.1608000007, 495842.50299999956 1097570.1898999996, 495906.75250000041 1097505.4837999996, 495934.27199999988 1097475.0668000001))"
"TREN RÍO SEGUNDO - U LATINA","RÍO SEGUNDO","SAN PEDRO","20165.4086","MULTILINESTRING ((492444.88470000029 1098550.8405000009, 492377.45469999965 1098573.7479999997, 492334.80460000038 1098591.8948, 492293.57919999957 1098606.3915999997, 492252.68360000011 1098624.7591999993, 492235.14190000016 1098635.4908000007, 492218.91679999977 1098649.6505999994, 492191.29420000035 1098692.3466999996, 492184.28139999975 1098714.7993, 492180.44880000036 1098738.6889999993, 492179.35759999976 1098763.0204000007, 492182.32309999969 1098786.3555999994, 492189.23550000042 1098807.2567999996, 492198.12100000028 1098825.3926999997, 492270.29449999984 1098939.7338999994, 492332.04760000017 1099038.0410999991, 492359.46970000025 1099085.2599999998, 492368.24569999985 1099104.8336999994, 492374.50009999983 1099126.0669, 492379.99239999987 1099172.7374000009, 492378.68680000026 1099221.8424999993, 492375.95519999973 1099267.0769999996, 492369.49069999997 1099289.7506000008, 492364.91349999979 1099423.4626000002, 492355.3833999997 1099467.5925999992, 492336.64180000033 1099506.0841000006, 492309.45600000024 1099537.6097999997, 492239.84179999959 1099593.2545999996, 491835.4243999999 1099907.8794, 491795.29820000008 1099927.0216000006, 491660.88179999962 1099969.4105999991, 491620.0987 1099991.9816999994, 491603.32670000009 1100008.3538000006, 491589.62540000025 1100027.7114000004, 491562.6671000002 1100090.4257999994, 491550.72009999957 1100109.0087000001, 491533.83800000045 1100123.1690999996, 491513.00760000013 1100133.3487999998, 491489.32540000044 1100138.2205999997, 491389.22070000041 1100144.9905999992, 491341.19840000011 1100154.9556000009, 491320.14910000004 1100165.9097000007, 491227.5137 1100227.7553000003, 491203.94240000006 1100237.9360000007, 491181.24700000044 1100243.0287999995, 491160.0856999997 1100243.8081999999, 491005.80999999959 1100223.1644000001, 490960.85560000036 1100223.6180000007, 490939.03710000031 1100227.6049000006, 490896.60859999992 1100244.3156000003, 490877.20459999982 1100256.9285000004, 490843.55200000014 1100290.8900000006, 490687.15089999977 1100533.5785000008, 490506.64030000009 1100815.2039, 490347.06560000032 1101064.3094999995, 490291.50169999991 1101157.5570999999, 490232.42889999971 1101248.8150999993, 490207.32959999982 1101281.1161000002, 490090.93900000025 1101461.1988999993, 490035.81300000008 1101548.0322999991, 490011.70409999974 1101591.9458000008, 490007.98280000035 1101615.9463, 490009.52469999995 1101640.7193999998, 490015.7807 1101664.1642000005, 490026.09260000009 1101684.9536000006, 490041.11809999961 1101701.9813, 490059.97989999969 1101715.1371, 490104.93850000016 1101737.023, 490127.08980000019 1101750.9520999994, 490144.74710000027 1101770.4123, 490155.49839999992 1101794.2982, 490159.34310000017 1101820.8403999992, 490154.31259999983 1101868.9511999991, 490118.48990000039 1101977.7881000005, 490096.35900000017 1102037.9586999994, 490084.08519999962 1102059.3071999997, 490066.54700000025 1102074.4637000002, 490045.05979999993 1102082.4326000009, 490023.35140000004 1102083.2127, 489956.35840000026 1102071.3973999992, 489934.64940000046 1102070.1867999993, 489893.6456000004 1102075.5067999996, 489874.57039999962 1102082.9221, 489835.43510000035 1102104.8312, 489799.26269999985 1102135.3660000004, 489630.13399999961 1102293.0142, 489216.58079999965 1102679.1171000004, 489132.62150000036 1102756.8915999997, 489084.06709999964 1102806.7852999996, 489057.43709999975 1102846.3869000003, 489039.46870000008 1102886.4284000006, 489003.65720000025 1103018.1599000003, 488980.4402999999 1103103.8794, 488971.4570000004 1103126.6651000008, 488949.32259999961 1103166.4866000004, 488909.64919999987 1103215.7141999993, 488862.30069999956 1103262.4005999994, 488794.78660000023 1103332.4290999994, 488751.93589999992 1103387.0771999992, 488740.10049999971 1103403.7809999995, 488726.40189999994 1103422.8078000005, 488659.88179999962 1103514.6239, 488595.77309999987 1103603.5637999997, 488492.87009999994 1103743.1695000008, 488417.14620000031 1103848.3710999992, 488327.83409999963 1103972.0470000003, 488216.93329999968 1104122.1626999993, 488065.05040000007 1104332.3464000002, 488012.67009999976 1104405.2469999995, 487931.14070000034 1104517.3087000009, 487850.1601 1104629.4810000006, 487814.6612999998 1104694.5239000004, 487788.48149999976 1104760.4484, 487749.49050000031 1104872.4960999992, 487692.20909999963 1105036.5307, 487669.1986999996 1105071.8190000001, 487654.1838999996 1105085.0957999993, 487632.26229999959 1105098.4854000006, 487608.36539999954 1105106.1248000003, 487584.57610000018 1105107.7918999996, 487563.74540000036 1105104.9235999994, 487500.5921 1105087.1392, 487476.47240000032 1105084.6038000006, 487452.46389999986 1105086.1604999993, 487409.16349999979 1105097.1246000007, 487303.49469999969 1105139.8519000001, 487217.44099999964 1105157.4671, 487112.1995000001 1105168.0110999998, 487070.54030000046 1105168.9108000007, 486523.94230000023 1105220.4271000009, 486476.91220000014 1105223.7627000008, 486454.98570000008 1105222.4436000008, 486434.04499999993 1105219.1336000003, 486302.14859999996 1105189.3221000005, 486281.20839999989 1105187.2287000008, 486085.63129999954 1105196.4828999992, 486037.9402999999 1105191.5243999995, 485925.23020000011 1105165.6884000003, 485904.29040000029 1105164.7010999992, 485860.44020000007 1105169.5844999999, 485839.83110000007 1105173.4635000005, 485800.91569999978 1105181.9946999997, 485779.10140000004 1105187.5330999997, 485756.62980000023 1105194.1777, 485692.6146 1105216.8753999993, 485654.03220000025 1105235.5814999994, 485632.76860000007 1105247.4239000008, 485615.23159999959 1105257.1633000001, 485597.80460000038 1105267.3452000003, 485514.72420000006 1105315.3773999996, 485319.8470999999 1105426.6060000006, 485110.17520000041 1105547.3530000001, 485033.67119999975 1105588.9690000005, 484993.99230000004 1105605.5749999993, 484932.49839999992 1105624.8443999998, 484867.38399999961 1105637.5902999993, 484683.32849999983 1105665.3169999998, 484480.30910000019 1105696.5919000003, 484388.55649999995 1105712.3361000009, 484344.38080000039 1105723.1937000006, 484298.34370000008 1105739.3608999997, 484253.62480000034 1105761.7208999991, 484211.53969999962 1105789.7203000002, 484154.55489999987 1105840.1775000002, 484081.35749999993 1105918.2912000008, 484059.9879999999 1105936.5491000004, 484036.4249 1105952.3748000003, 483983.81269999966 1105973.3010000009, 483930.75779999979 1105984.716, 483861.25960000046 1105998.2398000006, 483679.6202999996 1106029.8413999993, 483463.89020000026 1106068.4273000006, 483161.78089999966 1106122.2062999997, 482693.49189999979 1106206.7025000006, 482540.79389999993 1106233.5403000005, 482495.52099999972 1106240.1981000006, 482475.46059999987 1106243.0833, 482452.87870000023 1106245.7486000005, 482432.05069999956 1106248.0812, 482286.91089999955 1106262.1978999991, 481676.31699999981 1106321.5612000003, 481539.6174999997 1106332.4692000002, 481515.38819999993 1106329.0529999994, 481493.34839999955 1106319.6635999996, 481474.48529999983 1106305.5167999994, 481459.78579999972 1106287.2758000009, 481448.0444 1106265.273, 481441.56410000008 1106241.1660999991, 481435.60080000013 1106156.5623000003, 481429.45150000043 1106136.7685000002, 481418.14979999978 1106117.4198000003, 481403.12260000035 1106101.5015999991, 481382.9439000003 1106087.5767, 481340.83770000003 1106069.7921999991, 481232.06589999981 1106029.5910999998, 481185.68489999976 1106013.4681000002, 481095.22410000023 1105979.8937, 481033.60190000013 1105958.5807000007, 481012.11220000032 1105953.6150000002, 480990.6239 1105951.4144000001, 480947.8706 1105954.7547999993, 480906.43780000042 1105967.4954000004, 480882.76350000035 1105977.7934000008, 480861.61230000015 1105991.0763000008, 480815.0410000002 1106029.9206000008, 480797.72630000021 1106042.2060000002, 480738.43070000038 1106066.9008000009, 480698.5318 1106077.6500000004, 480590.12189999968 1106100.1592999995, 480547.14900000021 1106102.6153999995, 480504.72140000015 1106099.4309999999, 480464.3739 1106091.2686, 480226.66280000005 1106022.1638999991, 480135.11029999983 1105998.4356999993, 480092.68070000038 1105992.0443999991, 480070.7544 1105990.8398000002, 480028.54810000025 1105991.9691000003, 479987.22059999965 1105996.1947000008, 479944.03259999957 1106006.1722999997, 479900.40820000041 1106019.6894000005, 479825.93070000038 1106046.8418000005), (492427.1213999996 1098550.5123999994, 492472.1838999996 1098532.2545999996, 492534.8973000003 1098500.6111999992, 492553.97389999963 1098488.3311, 492597.50119999982 1098468.6360999998, 492679.84030000027 1098427.4776000008, 492728.08359999955 1098412.2056000009, 492780.82359999977 1098402.7943999991, 492849.24480000045 1098398.5782999992, 492911.85659999959 1098404.6488000005, 493020.6353000002 1098432.4980999995, 493305.52280000038 1098515.6130999997, 493455.86149999965 1098560.9301999994, 493499.7237 1098573.4197000004, 493587.88690000027 1098598.7306999993, 493609.15969999973 1098602.5978999995, 493659.59929999989 1098606.3493000008, 493704.66500000004 1098603.6871000007, 493779.77309999987 1098590.9557000007, 493804.77209999971 1098583.7625999991, 493827.57789999992 1098574.8004, 493894.13260000013 1098557.5362, 494016.82479999959 1098519.2495000008, 494066.49459999986 1098508.5134999994, 494109.47530000005 1098494.5714999996, 494152.89570000023 1098487.4863000009, 494175.92100000009 1098479.6303000003, 494224.9327999996 1098467.4568000007, 494248.50650000013 1098460.2643999998, 494269.33839999977 1098449.2015000004, 494318.89829999954 1098435.5902999993, 494362.97599999979 1098424.1919999998, 494445.64910000004 1098401.6176999994, 494536.65519999992 1098375.9455999993, 494636.87110000011 1098343.0835999995, 494682.70370000042 1098332.5702999998, 494754.85190000013 1098319.0669999998, 494879.74189999979 1098302.0174000002, 495010.22549999971 1098294.4787000008, 495102.11309999973 1098295.2404999994))"
"TREN ESTACION PACIFICO - PAVAS - METRÓPOLIS III","HOSPITAL","PAVAS","9684.1813","LINESTRING (491159.09069999959 1097500.6857999992, 491141.216 1097495.9344999995, 491120.92960000038 1097493.9486999996, 490832.11160000041 1097530.4064000007, 490788.58050000016 1097534.9518, 490716.5393000003 1097538.9516000003, 490674.76009999961 1097533.9854000006, 490631.55379999988 1097522.8263000008, 490587.68780000042 1097504.5891999993, 490494.14209999982 1097461.7020999994, 490469.57799999975 1097454.9620999992, 490421.00079999957 1097452.2098999992, 490371.76840000041 1097460.0753000006, 490346.76850000024 1097464.3950999994, 490255.9796000002 1097480.1239, 490164.42329999991 1097495.9638, 490144.57689999975 1097499.3976000007, 490098.41509999987 1097507.5943, 490073.41610000003 1097515.3428000007, 490049.7341 1097526.8512999993, 490028.02689999994 1097541.8983999994, 490008.62310000043 1097559.3779000007, 489993.05769999977 1097579.0683999993, 489813.19570000004 1097861.2495000008, 489791.05549999978 1097895.4299999997, 489732.85589999985 1097986.6884000003, 489707.86560000014 1098023.5239000004, 489679.91330000013 1098055.1624999996, 489648.67019999959 1098082.0461999997, 489631.56780000031 1098093.4425000008, 489576.64109999966 1098123.9827999994, 489558.6612 1098134.6052, 489372.28309999965 1098235.6336000003, 489310.00810000021 1098259.4300999995, 489268.12330000009 1098265.8570000008, 489079.7478 1098283.2765999995, 489034.13430000003 1098287.7141999993, 488992.24880000018 1098291.5976999998, 488923.71889999975 1098298.3648000006, 488899.81570000015 1098300.6947000008, 488877.88609999977 1098302.8027, 488857.05300000031 1098304.7997999992, 488805.84750000015 1098309.9028999992, 488585.5652999999 1098331.3164000008, 488284.03490000032 1098361.7156000007, 488212.4347000001 1098367.1579, 488189.1897 1098370.1515999995, 488167.04079999961 1098372.1494999994, 488145.87899999972 1098374.5895000007, 487922.08910000045 1098397.4458000008, 487825.81900000013 1098407.3210000005, 487804.98610000033 1098409.6504999995, 487763.10209999979 1098417.1851000004, 487742.92889999971 1098424.8231000006, 487705.76559999958 1098449.2774, 487674.74509999994 1098480.9185000006, 487663.34729999956 1098498.2860000003, 487653.37660000008 1098520.2980000004, 487647.13439999986 1098543.3043000009, 487643.85360000003 1098569.0744000003, 487646.39879999962 1098637.6433000006, 487636.98269999959 1098678.1248000003, 487627.77830000035 1098696.5976, 487615.61290000007 1098713.4123999998, 487583.82380000036 1098740.7404999994, 487564.5285 1098749.8159999996, 487543.36789999995 1098754.9108000007, 487521.10969999991 1098757.0197, 487342.05200000014 1098757.9661999997, 487172.54250000045 1098783.6839000005, 487109.50009999983 1098800.9593000002, 486867.10250000004 1098905.5596999992, 486843.97020000033 1098915.6323000006, 486802.96850000042 1098935.3333, 486765.9171000002 1098962.9958999995, 486737.09140000027 1098996.0747999996, 486719.88210000005 1099011.3433999997, 486691.49569999985 1099046.1917000003, 486658.50200000033 1099075.1799999997, 486639.09949999955 1099089.5647, 486594.37200000044 1099114.6865999997, 486545.25629999954 1099133.3955000006, 486494.71239999961 1099144.4738999996, 486427.71800000034 1099146.8213, 486201.83860000037 1099138.1690999996, 485942.40600000042 1099127.9829999991, 485917.73479999974 1099127.2182999998, 485807.64580000006 1099123.1689999998, 485702.27190000005 1099119.0076000001, 485438.45330000017 1099109.7115000002, 485371.89800000004 1099113.3879000004, 485189.12229999993 1099134.9175000004, 485146.03390000015 1099143.4509999994, 485124.43730000034 1099153.8559000008, 485093.4183 1099182.0706999991, 485081.03639999963 1099202.5362, 485073.04160000011 1099225.7647999991, 485070.09130000044 1099250.6502, 485101.125 1099526.3549000006, 485112.57160000037 1099631.9700000007, 485111.59410000034 1099654.7533999998, 485106.55999999959 1099678.4231000002, 485089.03160000034 1099715.2589999996, 485076.53899999987 1099732.7383999992, 485060.09819999989 1099747.8969, 485040.91540000029 1099760.9551999997, 485019.64809999987 1099771.1388000008, 484734.82210000046 1099857.7437999994, 484696.23149999976 1099869.5938000008, 484654.35190000013 1099882.2195999995, 484422.91810000036 1099952.2149999999, 484374.02379999962 1099970.5951000005, 484332.91820000019 1099997.9300999995, 484299.38190000039 1100033.4461000003, 484286.7807 1100052.1424000002, 484264.1069 1100105.3491999991, 484220.16820000019 1100172.5004999992, 484179.74349999987 1100252.0371000003, 484104.36890000012 1100392.5277999993, 484057.15359999985 1100487.4405000005, 483990.66459999979 1100635.8905999996, 483965.57249999978 1100672.9516000003, 483949.35130000021 1100686.6728000008, 483931.92370000016 1100699.8414999992, 483912.19249999989 1100710.6886999998, 483671.3507000003 1100813.0980999991, 483615.00499999989 1100838.0077999998, 483562.60940000042 1100868.8879000004, 483543.20949999988 1100884.2696000002, 483527.0998999998 1100902.0830000006, 483505.0784 1100938.9218000006, 483468.8217000002 1101016.4666000009, 483445.59310000017 1101051.2046000008, 483417.10059999954 1101083.1800999995, 483366.57160000037 1101119.0364999995)"
