"Código de Ruta","Descripción de la ruta","Código recorrido ","Descripción del recorrido","Sentido","Dia","Mes","Año","Cantidad de Pasajeros Regulares","Cantidad de Adultos Mayores","Ingresos"
"RF005","ALAJUELA - HEREDIA Y VICEVERSA","T4471","ALAJUELA - HEREDIA Y VICEVERSA","Origen – Destino","11","6","2025","251","14","200800"
"RF005","ALAJUELA - HEREDIA Y VICEVERSA","T4471","ALAJUELA - HEREDIA Y VICEVERSA","Origen – Destino","10","6","2025","286","","228800"
"RF005","ALAJUELA - HEREDIA Y VICEVERSA","T4471","ALAJUELA - HEREDIA Y VICEVERSA","Origen – Destino","9","6","2025","259","17","207200"
"RF005","ALAJUELA - HEREDIA Y VICEVERSA","T4471","ALAJUELA - HEREDIA Y VICEVERSA","Origen – Destino","6","6","2025","262","21","209600"
"RF005","ALAJUELA - HEREDIA Y VICEVERSA","T4471","ALAJUELA - HEREDIA Y VICEVERSA","Origen – Destino","5","6","2025","273","25","218400"
"RF005","ALAJUELA - HEREDIA Y VICEVERSA","T4471","ALAJUELA - HEREDIA Y VICEVERSA","Origen – Destino","4","6","2025","235","14","188000"
"RF005","ALAJUELA - HEREDIA Y VICEVERSA","T4471","ALAJUELA - HEREDIA Y VICEVERSA","Origen – Destino","3","6","2025","377","14","301600"
"RF005","ALAJUELA - HEREDIA Y VICEVERSA","T4471","ALAJUELA - HEREDIA Y VICEVERSA","Origen – Destino","2","6","2025","311","12","248800"
"RF004","ESTACION DEL ATLANTICO - CARTAGO","T4470","ESTACION DEL ATLANTICO - CARTAGO","Destino – Origen","30","6","2025","2221","","1565805"
"RF004","ESTACION DEL ATLANTICO - CARTAGO","T4470","ESTACION DEL ATLANTICO - CARTAGO","Destino – Origen","27","6","2025","1772","","1249260"
"RF004","ESTACION DEL ATLANTICO - CARTAGO","T4470","ESTACION DEL ATLANTICO - CARTAGO","Destino – Origen","26","6","2025","2082","","1467810"
"RF004","ESTACION DEL ATLANTICO - CARTAGO","T4470","ESTACION DEL ATLANTICO - CARTAGO","Destino – Origen","25","6","2025","2251","","1586955"
"RF004","ESTACION DEL ATLANTICO - CARTAGO","T4470","ESTACION DEL ATLANTICO - CARTAGO","Destino – Origen","24","6","2025","2463","","1736415"
"RF004","ESTACION DEL ATLANTICO - CARTAGO","T4470","ESTACION DEL ATLANTICO - CARTAGO","Destino – Origen","23","6","2025","2339","","1648995"
"RF004","ESTACION DEL ATLANTICO - CARTAGO","T4470","ESTACION DEL ATLANTICO - CARTAGO","Destino – Origen","20","6","2025","1825","","1286625"
"RF004","ESTACION DEL ATLANTICO - CARTAGO","T4470","ESTACION DEL ATLANTICO - CARTAGO","Destino – Origen","19","6","2025","2182","","1538310"
"RF004","ESTACION DEL ATLANTICO - CARTAGO","T4470","ESTACION DEL ATLANTICO - CARTAGO","Destino – Origen","18","6","2025","1741","","1227405"
"RF004","ESTACION DEL ATLANTICO - CARTAGO","T4470","ESTACION DEL ATLANTICO - CARTAGO","Destino – Origen","17","6","2025","2034","","1433970"
"RF004","ESTACION DEL ATLANTICO - CARTAGO","T4470","ESTACION DEL ATLANTICO - CARTAGO","Destino – Origen","16","6","2025","2469","","1740645"
"RF004","ESTACION DEL ATLANTICO - CARTAGO","T4470","ESTACION DEL ATLANTICO - CARTAGO","Destino – Origen","13","6","2025","1788","","1260540"
"RF004","ESTACION DEL ATLANTICO - CARTAGO","T4470","ESTACION DEL ATLANTICO - CARTAGO","Destino – Origen","12","6","2025","2109","","1486845"
"RF004","ESTACION DEL ATLANTICO - CARTAGO","T4470","ESTACION DEL ATLANTICO - CARTAGO","Destino – Origen","11","6","2025","2299","","1620795"
"RF004","ESTACION DEL ATLANTICO - CARTAGO","T4470","ESTACION DEL ATLANTICO - CARTAGO","Destino – Origen","10","6","2025","2304","","1624320"
"RF004","ESTACION DEL ATLANTICO - CARTAGO","T4470","ESTACION DEL ATLANTICO - CARTAGO","Destino – Origen","9","6","2025","2097","","1478385"
"RF004","ESTACION DEL ATLANTICO - CARTAGO","T4470","ESTACION DEL ATLANTICO - CARTAGO","Destino – Origen","6","6","2025","2083","","1468515"
"RF004","ESTACION DEL ATLANTICO - CARTAGO","T4470","ESTACION DEL ATLANTICO - CARTAGO","Destino – Origen","5","6","2025","1833","","1292265"
"RF004","ESTACION DEL ATLANTICO - CARTAGO","T4470","ESTACION DEL ATLANTICO - CARTAGO","Destino – Origen","4","6","2025","1963","","1383915"
"RF004","ESTACION DEL ATLANTICO - CARTAGO","T4470","ESTACION DEL ATLANTICO - CARTAGO","Destino – Origen","3","6","2025","2365","","1667325"
"RF004","ESTACION DEL ATLANTICO - CARTAGO","T4470","ESTACION DEL ATLANTICO - CARTAGO","Destino – Origen","2","6","2025","1915","","1350075"
"RF004","ESTACION DEL ATLANTICO - CARTAGO","T4470","ESTACION DEL ATLANTICO - CARTAGO","Origen – Destino","30","6","2025","3209","166","2262345"
"RF004","ESTACION DEL ATLANTICO - CARTAGO","T4470","ESTACION DEL ATLANTICO - CARTAGO","Origen – Destino","27","6","2025","2935","159","2069175"
"RF004","ESTACION DEL ATLANTICO - CARTAGO","T4470","ESTACION DEL ATLANTICO - CARTAGO","Origen – Destino","26","6","2025","3270","134","2305350"
"RF004","ESTACION DEL ATLANTICO - CARTAGO","T4470","ESTACION DEL ATLANTICO - CARTAGO","Origen – Destino","25","6","2025","3272","105","2306760"
"RF004","ESTACION DEL ATLANTICO - CARTAGO","T4470","ESTACION DEL ATLANTICO - CARTAGO","Origen – Destino","24","6","2025","3728","170","2628240"
"RF004","ESTACION DEL ATLANTICO - CARTAGO","T4470","ESTACION DEL ATLANTICO - CARTAGO","Origen – Destino","23","6","2025","3417","186","2408985"
"RF004","ESTACION DEL ATLANTICO - CARTAGO","T4470","ESTACION DEL ATLANTICO - CARTAGO","Origen – Destino","20","6","2025","3458","180","2437890"
"RF004","ESTACION DEL ATLANTICO - CARTAGO","T4470","ESTACION DEL ATLANTICO - CARTAGO","Origen – Destino","19","6","2025","3317","317","2338485"
"RF004","ESTACION DEL ATLANTICO - CARTAGO","T4470","ESTACION DEL ATLANTICO - CARTAGO","Origen – Destino","18","6","2025","3724","165","2625420"
"RF004","ESTACION DEL ATLANTICO - CARTAGO","T4470","ESTACION DEL ATLANTICO - CARTAGO","Origen – Destino","17","6","2025","3852","315","2715660"
"RF004","ESTACION DEL ATLANTICO - CARTAGO","T4470","ESTACION DEL ATLANTICO - CARTAGO","Origen – Destino","16","6","2025","3362","203","2370210"
"RF004","ESTACION DEL ATLANTICO - CARTAGO","T4470","ESTACION DEL ATLANTICO - CARTAGO","Origen – Destino","13","6","2025","3357","154","2366685"
"RF004","ESTACION DEL ATLANTICO - CARTAGO","T4470","ESTACION DEL ATLANTICO - CARTAGO","Origen – Destino","12","6","2025","3503","318","2469615"
"RF004","ESTACION DEL ATLANTICO - CARTAGO","T4470","ESTACION DEL ATLANTICO - CARTAGO","Origen – Destino","11","6","2025","3263","201","2300415"
"RF004","ESTACION DEL ATLANTICO - CARTAGO","T4470","ESTACION DEL ATLANTICO - CARTAGO","Origen – Destino","10","6","2025","3755","305","2647275"
"RF004","ESTACION DEL ATLANTICO - CARTAGO","T4470","ESTACION DEL ATLANTICO - CARTAGO","Origen – Destino","9","6","2025","3765","112","2654325"
"RF004","ESTACION DEL ATLANTICO - CARTAGO","T4470","ESTACION DEL ATLANTICO - CARTAGO","Origen – Destino","6","6","2025","2930","246","2065650"
